  663.0179    1.0172
  718.8143    1.0239
  773.9620    1.0441
  823.9193    1.1115
  NaN         NaN

% Gneiss
% Orthogneiss
% 98-43B
  292.9873    1.5792
  314.0602    1.5086
  343.9134    1.4288
  374.9375    1.3889
  434.6440    1.3244
  490.2531    1.2722
  544.6914    1.2078
  588.5933    1.2078
  654.1535    1.1986
  709.7625    1.2508
  763.6155    1.3091
  NaN         NaN

% Paragneiss
% K-67
  295.2082    1.9725
  316.1285    1.8241
  346.9278    1.7214
  374.2404    1.5730
  430.0278    1.4532
  485.8151    1.4132
  542.1836    1.3219
  599.7144    1.2734
  656.0829    1.2905
  712.4514    1.3505
  767.0765    1.3419
  817.0527    1.4104
  NaN         NaN

% K-76
  296.3705    2.1066
  313.2229    1.9697
  344.0222    1.7842
  374.2404    1.6558
  432.9333    1.5017
  486.9774    1.4246
  545.0892    1.3876
  597.9710    1.3818
  653.7584    1.4047
  708.9647    1.4532
  763.0087    1.5160
  813.5660    1.5930
  NaN         NaN

